id,title,artist,genre,youtube_url,bpm,fingerprint_path
good_dont_die,GOOD (DON'T DIE),Kanye West & Ty Dolla Sign,hip-hop,https://youtu.be/8RekdDwmvJs,129.2,fingerprints/good_dont_die.png
white_lines,WHITE LINES,Kanye West,hip-hop,https://youtu.be/uA5w3_j-_gM,152.0,fingerprints/white_lines.png
all_the_love,ALL THE LOVE,Kanye West,hip-hop,https://youtu.be/U2beixNMeWA,117.5,fingerprints/all_the_love.png
flashing_lights,Flashing Lights (Alternate Intro),Kanye West,hip-hop,https://youtu.be/O0Cw1SLdxxE,89.1,fingerprints/flashing_lights.png
ts_90210,90210,Travis Scott,hip-hop,https://youtu.be/BuNBLjJzRoo,129.2,fingerprints/ts_90210.png
thought_i_was_dead,THOUGHT I WAS DEAD,"Tyler, the Creator",hip-hop,https://youtu.be/_RuuRU0bGLc,129.2,fingerprints/thought_i_was_dead.png
watch_party_die,Watch The Party Die,Kendrick Lamar,hip-hop,https://youtu.be/zISYJ-bT7DQ,83.4,fingerprints/watch_party_die.png
one_beer,One Beer,MF DOOM,hip-hop,https://youtu.be/h69FSgua80A,117.5,fingerprints/one_beer.png
wale_90210,90210,Wale,hip-hop,https://youtu.be/oR6qpkOO8Ns,99.4,fingerprints/wale_90210.png
adults_talking,The Adults Are Talking,The Strokes,indie rock,https://youtu.be/o4qsjmLxhow,161.5,fingerprints/adults_talking.png
best_american_girl,Your Best American Girl,Mitski,indie rock,https://youtu.be/BjGB9hc5huk,152.0,fingerprints/best_american_girl.png
washing_machine_heart,Washing Machine Heart,Mitski,indie pop,https://youtu.be/3vjkh-acmTE,107.7,fingerprints/washing_machine_heart.png
teenage_dirtbag,Teenage Dirtbag,Wheatus,rock,https://youtu.be/FC3y9llDXuM,95.7,fingerprints/teenage_dirtbag.png
hyperventilation,Hyperventilation,RADWIMPS,j-rock,https://youtu.be/OEPmMz2Y0c8,123.0,fingerprints/hyperventilation.png
sinking_town,Sinking Town,Yoeko Kurahashi,j-pop,https://youtu.be/aszGCtkT8pU,123.0,fingerprints/sinking_town.png
falling_in_love,this is what falling in love feels like,Kiichan,j-pop,https://youtu.be/TLTE2ycvEH0,117.5,fingerprints/falling_in_love.png
eta,ETA,NewJeans,k-pop,https://youtu.be/jOTfBlKSQYY,136.0,fingerprints/eta.png
amour_plastique,Amour plastique,Videoclub,french synth-pop,https://youtu.be/5NjJLFI_oYs,117.5,fingerprints/amour_plastique.png
pixelated_kisses,PIXELATED KISSES,Joji,bedroom pop,https://youtu.be/SblNBrgLdvo,123.0,fingerprints/pixelated_kisses.png
one_more_time,One More Time,Daft Punk,electronic,https://youtu.be/FGBhQbmPwH8,123.0,fingerprints/one_more_time.png
alberto_balsalm,Alberto Balsalm,Aphex Twin,electronic,https://youtu.be/ulj5UJ5GHvE,95.7,fingerprints/alberto_balsalm.png
fahrenheit_fair,Fahrenheit Fair Enough,Telefon Tel Aviv,electronic,https://youtu.be/9NZZOWC1YJQ,129.2,fingerprints/fahrenheit_fair.png
bless_telephone,Bless the Telephone,Labi Siffre,soul/folk,https://youtu.be/Rpy2O6fYiTk,136.0,fingerprints/bless_telephone.png
nothing_from_nothing,Nothing From Nothing,Billy Preston,soul/funk,https://youtu.be/8HqyEHqEYho,103.4,fingerprints/nothing_from_nothing.png
