id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Heartbreak Blueprint,Prism Youth,r&b,melancholic,0.55,95,0.30,0.68,0.40
12,Concrete Jungle,MC Anvil,hip-hop,aggressive,0.88,98,0.40,0.85,0.08
13,Forest Bathing,Silver Fern,folk,dreamy,0.25,85,0.55,0.30,0.94
14,Laser Drift,Synthkid,edm,euphoric,0.94,128,0.75,0.92,0.04
15,Porch Sundown,Dusty Wheat,country,nostalgic,0.45,92,0.60,0.55,0.78
16,Quiet Cathedral,Arco Ensemble,classical,melancholic,0.22,68,0.35,0.20,0.98
17,Break the Siege,Ironclad,metal,aggressive,0.96,168,0.28,0.52,0.05
18,Island Mornings,Soft Palm,reggae,relaxed,0.52,82,0.78,0.70,0.60
19,First Love Letter,Velvet Draft,indie,romantic,0.48,102,0.72,0.58,0.55
20,3AM Revisions,Ghost Pager,synthwave,nostalgic,0.62,104,0.45,0.70,0.25
